#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
0000.jpg,1490935,"{}",68,0,"{""name"":""point"",""cx"":648,""cy"":1381}","{}"
0000.jpg,1490935,"{}",68,1,"{""name"":""point"",""cx"":860,""cy"":1372}","{}"
0000.jpg,1490935,"{}",68,2,"{""name"":""point"",""cx"":655,""cy"":1503}","{}"
0000.jpg,1490935,"{}",68,3,"{""name"":""point"",""cx"":855,""cy"":1500}","{}"
0000.jpg,1490935,"{}",68,4,"{""name"":""point"",""cx"":657,""cy"":1549}","{}"
0000.jpg,1490935,"{}",68,5,"{""name"":""point"",""cx"":845,""cy"":1531}","{}"
0000.jpg,1490935,"{}",68,6,"{""name"":""point"",""cx"":692,""cy"":1674}","{}"
0000.jpg,1490935,"{}",68,7,"{""name"":""point"",""cx"":857,""cy"":1665}","{}"
0000.jpg,1490935,"{}",68,8,"{""name"":""point"",""cx"":701,""cy"":1719}","{}"
0000.jpg,1490935,"{}",68,9,"{""name"":""point"",""cx"":854,""cy"":1719}","{}"
0000.jpg,1490935,"{}",68,10,"{""name"":""point"",""cx"":704,""cy"":1838}","{}"
0000.jpg,1490935,"{}",68,11,"{""name"":""point"",""cx"":876,""cy"":1841}","{}"
0000.jpg,1490935,"{}",68,12,"{""name"":""point"",""cx"":707,""cy"":1873}","{}"
0000.jpg,1490935,"{}",68,13,"{""name"":""point"",""cx"":889,""cy"":1882}","{}"
0000.jpg,1490935,"{}",68,14,"{""name"":""point"",""cx"":704,""cy"":2001}","{}"
0000.jpg,1490935,"{}",68,15,"{""name"":""point"",""cx"":896,""cy"":2013}","{}"
0000.jpg,1490935,"{}",68,16,"{""name"":""point"",""cx"":701,""cy"":2039}","{}"
0000.jpg,1490935,"{}",68,17,"{""name"":""point"",""cx"":902,""cy"":2038}","{}"
0000.jpg,1490935,"{}",68,18,"{""name"":""point"",""cx"":669,""cy"":2198}","{}"
0000.jpg,1490935,"{}",68,19,"{""name"":""point"",""cx"":899,""cy"":2191}","{}"
0000.jpg,1490935,"{}",68,20,"{""name"":""point"",""cx"":689,""cy"":2230}","{}"
0000.jpg,1490935,"{}",68,21,"{""name"":""point"",""cx"":896,""cy"":2230}","{}"
0000.jpg,1490935,"{}",68,22,"{""name"":""point"",""cx"":683,""cy"":2388}","{}"
0000.jpg,1490935,"{}",68,23,"{""name"":""point"",""cx"":890,""cy"":2388}","{}"
0000.jpg,1490935,"{}",68,24,"{""name"":""point"",""cx"":683,""cy"":2413}","{}"
0000.jpg,1490935,"{}",68,25,"{""name"":""point"",""cx"":889,""cy"":2411}","{}"
0000.jpg,1490935,"{}",68,26,"{""name"":""point"",""cx"":686,""cy"":2584}","{}"
